	queryItem	preferredName
1	NMU	NMU
2	MPP6	MPP6
3	HELLS	HELLS
4	SERPINH1	SERPINH1
5	MMP1	MMP1
6	CDC45	CDC45
7	RECQL4	RECQL4
8	CYP39A1	CYP39A1
9	MAGOHB	MAGOHB
10	LRFN4	LRFN4
11	PLIN1	PLIN1
12	DUSP2	DUSP2
13	FOXD1	FOXD1
14	CDCA8	CDCA8
15	MICAL3	MICAL3
16	ZNF532	ZNF532
17	CENPE	CENPE
19	KIFC1	KIFC1
20	RAD54L	RAD54L
21	NCAPH	NCAPH
22	PRR3	PRR3
23	NDC80	NDC80
24	LGALSL	LGALSL
25	HOXB2	HOXB2
26	GCNT2	GCNT2
27	APOD	APOD
28	KIF18A	KIF18A
29	MYBL2	MYBL2
30	TRMU	TRMU
31	MCM10	MCM10
32	PLAT	PLAT
33	ERCC6L	ERCC6L
34	CDCA3	CDCA3
35	RASAL2	RASAL2
36	MAOA	MAOA
37	POLA2	POLA2
38	WLS	WLS
39	SLITRK5	SLITRK5
40	CFD	CFD
41	KIF23	KIF23
42	ZNF696	ZNF696
43	HOMER1	HOMER1
44	PAK1IP1	PAK1IP1
45	TTK	TTK
46	E2F5	E2F5
47	CENPI	CENPI
48	CBR1	CBR1
49	NETO2	NETO2
50	RPL39L	RPL39L
51	TRAIP	TRAIP
52	FKBP1B	FKBP1B
53	TACC3	TACC3
54	FOXM1	FOXM1
55	C16orf95	C16orf95
56	SKA1	SKA1
57	RAD51AP1	RAD51AP1
58	PTGER3	PTGER3
59	ASPM	ASPM
60	CPA3	CPA3
61	SLC7A5	SLC7A5
62	MYBL1	MYBL1
63	WFDC2	WFDC2
64	CREB3L1	CREB3L1
65	TAT	TAT
66	CCNE1	CCNE1
67	PLOD2	PLOD2
68	INHBB	INHBB
69	NEK2	NEK2
70	MAD2L1	MAD2L1
71	CEP55	CEP55
72	PRIM2	PRIM2
73	SRD5A1	SRD5A1
74	ARHGEF9	ARHGEF9
75	IMPA2	IMPA2
76	NASP	NASP
77	CIB2	CIB2
78	GINS4	GINS4
79	NUDT18	NUDT18
80	GGH	GGH
81	E2F8	E2F8
82	EZH2	EZH2
83	GALNT3	GALNT3
84	CDC20	CDC20
85	MELK	MELK
86	ORC1	ORC1
88	RTN1	RTN1
89	SLMO1	PRELID3A
90	CST3	CST3
91	CBX7	CBX7
92	APOBEC3B	APOBEC3B
93	IGFBP6	IGFBP6
94	PBK	PBK
95	MYC	MYC
96	AGTR1	AGTR1
97	FBXO5	FBXO5
98	TPSB2	TPSB2
99	CCNE2	CCNE2
100	UBE2S	UBE2S
101	SHCBP1	SHCBP1
102	STK3	STK3
103	PIEZO2	PIEZO2
104	CCNB2	CCNB2
105	DSCC1	DSCC1
106	NOVA1	NOVA1
107	BUB1	BUB1
108	VEGFA	COL18A1
109	PLK4	PLK4
110	TEAD4	TEAD4
111	HJURP	HJURP
112	ATAD2	ATAD2
113	GINS3	GINS3
114	FMO5	FMO5
115	KIF14	KIF14
116	NT5DC2	NT5DC2
117	HMGA1	HMGA1
118	KIF11	KIF11
119	MKI67	MKI67
120	MAGOH2	MAGOHB
121	ADRA2A	ADRA2A
122	CENPN	CENPN
123	FZD6	FZD6
124	GATM	GATM
125	AURKB	AURKB
126	ATP6V0A2	ATP6V0A2
127	IQGAP2	IQGAP2
128	BNIP3	BNIP3
129	C1orf112	C1orf112
130	C14orf132	C14orf132
131	HSPA4L	HSPA4L
132	EGR3	EGR3
133	TOP2A	TOP2A
134	PPIF	PPIF
135	PIR	PIR
136	ME3	ME3
137	PRKDC	PRKDC
138	ZWILCH	ZWILCH
139	CKS2	CKS2
140	NCAPG	NCAPG
141	RIPK4	RIPK4
142	DHCR7	DHCR7
143	RACGAP1	RACGAP1
144	ACTR3B	ACTR3B
145	TPSAB1	TPSAB1
146	FMOD	FMOD
147	LMNB1	LMNB1
148	DLGAP5	DLGAP5
149	DBF4	DBF4
150	TPX2	TPX2
151	PARPBP	PARPBP
152	DHTKD1	DHTKD1
153	SKP2	SKP2
154	DTL	DTL
155	KAL1	ANOS1
156	MST4	STK26
157	ECT2	ECT2
158	EFNA4	EFNA4
159	DNMT3B	DNMT3B
160	MOCOS	MOCOS
161	SLC12A8	SLC12A8
162	KNTC1	KNTC1
163	CENPF	CENPF
164	TYMS	TYMS
165	MCM4	MCM4
166	YES1	YES1
167	PLK1	PLK1
168	KIF20A	KIF20A
169	PLXNA1	PLXNA1
170	MTERF3	MTERF3
171	DCLRE1B	DCLRE1B
172	RFWD3	RFWD3
173	SHC2	SHC2
174	KIF18B	KIF18B
175	SQLE	SQLE
176	SNRPA1	SNRPA1
177	MLF1	MLF1
178	COLEC12	COLEC12
179	TTI1	TTI1
180	TRIP13	TRIP13
181	SAP30	SAP30
182	PRC1	PRC1
183	LAPTM4B	LAPTM4B
184	ZFAND1	ZFAND1
185	RRM2	RRM2
186	AURKA	AURKA
187	NUP155	NUP155
188	RPP25	RPP25
189	STARD13	STARD13
190	GINS1	GINS1
191	DEF8	DEF8
192	ORC6	ORC6
193	ZNF671	ZNF671
194	DSG2	DSG2
195	DBN1	DBN1
196	KAZN	KAZN
197	MEGF9	MEGF9
198	ZBTB16	ZBTB16
199	CDC25C	CDC25C
200	GPSM2	GPSM2
201	TNFSF13	TNFSF13
202	PIK3R1	PIK3R1
203	SMAGP	SMAGP
204	CEACAM5	CEACAM5
205	COA7	COA7
206	BRIX1	BRIX1
207	OXR1	OXR1
208	RAB40B	RAB40B
209	NUSAP1	NUSAP1
210	DNAJB6	DNAJB6
211	HDAC2	HDAC2
212	VRK1	VRK1
213	HN1	JPT1
214	RAD54B	RAD54B
215	CADPS2	CADPS2
216	HMGB2	HMGB2
217	CST4	CST4
218	DNA2	DNA2
219	PUS1	PUS1
220	GOLT1B	GOLT1B
221	CCNA2	CCNA2
222	TBC1D31	TBC1D31
223	UBE2C	UBE2C
224	RRS1	RRS1
225	FANCG	FANCG
226	CENPU	CENPU
227	TFRC	TFRC
228	ASNS	ASNS
229	RAD51	RAD51
230	GNG12	GNG12
231	DONSON	DONSON
232	ALDH4A1	ALDH4A1
233	GSTM2	GSTM2
234	MCM5	MCM5
235	BTG2	BTG2
236	MCM2	MCM2
237	RHBDF2	RHBDF2
238	RAB31	RAB31
239	CDK1	CDK1
240	HSPA14	HSPA14
241	BTBD3	BTBD3
242	GCLM	GCLM
243	FEN1	FEN1
244	C1QBP	C1QBP
245	KIAA0101	PCLAF
246	CMC2	CMC2
247	CKS1B	CKS1B
248	MED17	MED17
249	NUP88	NUP88
250	KIF2C	KIF2C
251	SEMA3G	SEMA3G
252	CDK8	CDK8
253	GPR125	ADGRA3
254	IMPAD1	IMPAD1
255	TXNIP	TXNIP
256	FDX1	FDX1
257	FRMD4A	FRMD4A
258	TAGLN2	TAGLN2
259	POLR3G	POLR3G
260	TIMM8A	TIMM8A
261	MTFR1	MTFR1
262	NCAPD3	NCAPD3
263	CHEK1	CHEK1
264	SLC16A5	SLC16A5
265	URB2	URB2
266	GSTM1	GSTM1
267	GNL3L	GNL3L
268	KIF15	KIF15
269	GMPS	GMPS
270	REEP1	REEP1
271	MCM7	MCM7
272	CEBPG	CEBPG
273	SMC4	SMC4
274	TFAP2C	TFAP2C
275	CCNB1	CCNB1
276	ENAH	ENAH
277	EXO1	EXO1
278	HMGB3	HMGB3
279	AHNAK	AHNAK
280	BUB1B	BUB1B
281	MCM6	MCM6
282	TMPO	TMPO
283	FANCL	FANCL
284	EXT1	EXT1
285	CNIH4	CNIH4
286	TARS	TARS1
287	UAP1	UAP1
288	RRP15	RRP15
289	SS18L1	SS18L1
290	KIF13B	KIF13B
291	SLC25A13	SLC25A13
292	PFN2	PFN2
293	PDCD5	PDCD5
294	PFDN4	PFDN4
295	FUCA1	FUCA1
296	GMNN	GMNN
297	ZBED4	ZBED4
298	TENC1	TNS2
299	PDE4A	PDE4A
300	KIF4A	KIF4A
301	ZDHHC13	ZDHHC13
302	TAF2	TAF2
303	NDUFAF4	NDUFAF4
304	ITGA2	ITGA2
305	TSC22D3	TSC22D3
306	RBM12B	RBM12B
307	RANBP1	RANBP1
308	TK1	TK1
309	POLR2F	POLR2F
310	SF3B3	SF3B3
311	C14orf159	DGLUCY
312	MCUR1	MCUR1
313	KPNA2	KPNA2
314	BYSL	BYSL
315	ZWINT	ZWINT
316	RMDN1	RMDN1
317	MRPL13	MRPL13
318	ZNF250	ZNF250
319	STMN1	STMN1
320	CTPS1	CTPS1
321	SPC25	SPC25
322	ENY2	ENY2
323	ACTL6A	ACTL6A
324	SMC2	SMC2
325	H2AFX	H2AX
326	VWA5A	VWA5A
327	POLD1	POLD1
328	DNMBP	DNMBP
329	TGFB3	TGFB3
330	SPAG5	SPAG5
331	NCAPG2	NCAPG2
332	MORC2	MORC2
333	PIK3IP1	PIK3IP1
334	LRRC48	DRC3
335	ANXA6	ANXA6
336	NRAS	NRAS
337	RALA	RALA
338	RAD21	RAD21
339	INTS8	INTS8
340	XPOT	XPOT
341	FANCI	FANCI
342	DYNC2H1	DYNC2H1
343	GTPBP4	GTPBP4
344	POLR2K	POLR2K
345	FAM208B	TASOR2
346	SOX4	SOX4
347	HMGCS1	HMGCS1
348	CIDEC	CIDEC
349	MCCC1	MCCC1
350	PSMG1	PSMG1
351	PALM	PALM
352	ESPL1	ESPL1
353	YARS2	YARS2
354	GSAP	GSAP
355	NUP43	NUP43
356	PFDN2	PFDN2
357	OIP5	OIP5
358	LAGE3	LAGE3
359	NCAPD2	NCAPD2
360	PSME4	PSME4
361	WDR43	WDR43
362	FDPS	FDPS
363	TAF5	TAF5
364	SLC25A32	SLC25A32
365	NUDT15	NUDT15
366	AHCTF1	AHCTF1
367	BATF	BATF
368	RNASEL	RNASEL
369	ILF2	ILF2
370	TJP2	TJP2
371	FAM64A	PIMREG
372	MGLL	MGLL
373	DNAJC2	DNAJC2
374	MTHFD2	MTHFD2
375	RFC4	RFC4
376	TAF11	TAF11
377	SNRPD1	SNRPD1
378	HSPH1	HSPH1
379	ROCK2	ROCK2
380	TMEM97	TMEM97
381	PLAA	PLAA
382	CISH	CISH
383	SMS	SMS
384	DOK1	DOK1
385	CKAP2	CKAP2
386	STIL	STIL
387	ZNF232	ZNF232
388	UCHL5	UCHL5
389	PDCD2	PDCD2
390	PARD3	PARD3
391	FSTL3	FSTL3
392	CDC6	CDC6
393	ANKRD27	ANKRD27
394	RRP1B	RRP1B
395	SKAP1	SKAP1
396	SFXN3	SFXN3
397	DNM1L	DNM1L
398	ASUN	INTS13
399	PDSS1	PDSS1
400	EMC8	EMC8
401	IDUA	IDUA
402	EED	EED
403	RNF138	RNF138
404	CCDC176	BBOF1
405	ATP13A3	ATP13A3
406	EHBP1	EHBP1
407	LRRC8B	LRRC8B
408	NBN	NBN
409	ARRB1	ARRB1
410	RFC2	RFC2
411	PRDX4	PRDX4
412	PCNA	PCNA
413	CHAF1A	CHAF1A
414	RNASEH2A	RNASEH2A
415	UNG	UNG
416	MSH2	MSH2
417	MIS18A	MIS18A
418	EXOSC2	EXOSC2
419	EPCAM	EPCAM
420	NDC1	NDC1
421	WDYHV1	WDYHV1
422	GNL2	GNL2
423	ECHDC2	ECHDC2
424	CHCHD3	CHCHD3
425	TBCCD1	TBCCD1
426	UBE2V2	UBE2V2
427	ASAP2	ASAP2
428	GPN1	GPN1
429	CHD7	CHD7
430	CAST	CAST
431	RFC3	RFC3
432	RB1CC1	RB1CC1
433	PUS7	PUS7
434	SENP6	SENP6
435	ACAT2	ACAT2
436	MRGBP	MRGBP
437	MR1	MR1
438	NAA15	NAA15
440	VANGL1	VANGL1
441	SIGMAR1	SIGMAR1
442	MAFG	MAFG
443	DDX39A	DDX39A
444	CHERP	CHERP
445	CCT6A	CCT6A
446	RINT1	RINT1
447	ARMC1	ARMC1
448	SIDT2	SIDT2
449	C16orf80	CFAP20
450	FBXO28	FBXO28
451	CSNK2A2	CSNK2A2
452	CDC7	CDC7
453	NFYA	NFYA
454	BZW2	BZW2
455	HLTF	HLTF
456	COPS5	COPS5
457	FAM98A	FAM98A
458	WDR77	WDR77
459	SESN1	SESN1
460	CDKN3	CDKN3
461	HMMR	HMMR
462	EMC2	EMC2
463	CHEK2	CHEK2
464	TPGS2	TPGS2
465	CISD1	CISD1
466	PTTG1	PTTG1
467	RSRC1	RSRC1
468	TFB2M	TFB2M
469	DLAT	DLAT
470	TMEM194A	NEMP1
471	CTSO	CTSO
472	DIEXF	UTP25
473	SEH1L	SEH1L
475	ASAH1	ASAH1
476	ZNF7	ZNF7
477	TEX30	TEX30
478	IL13RA1	IL13RA1
479	MRPL15	MRPL15
480	PCID2	PCID2
481	TRRAP	TRRAP
482	ESF1	ESF1
483	UBA2	UBA2
484	PPFIA1	PPFIA1
485	WBP1L	WBP1L
486	NUP205	NUP205
487	SMC1A	SMC1A
488	DNMT1	DNMT1
489	UTP11L	UTP11
490	JADE2	JADE2
491	MVP	MVP
492	LIMA1	LIMA1
