#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCF1	MRPL19	9606.ENSP00000313603	9606.ENSP00000377486	0.042	0	0	0	0.102	0.752	0	0.156	0.796
ABCF1	LARP4B	9606.ENSP00000313603	9606.ENSP00000326128	0	0	0	0	0.097	0	0.900	0.101	0.911
ACADS	ACAT2	9606.ENSP00000242592	9606.ENSP00000356015	0.054	0	0	0	0.324	0.051	0.918	0.317	0.960
ACAT2	CRYL1	9606.ENSP00000356015	9606.ENSP00000298248	0.079	0	0	0	0.559	0.481	0.352	0.256	0.879
ACAT2	DHCR7	9606.ENSP00000356015	9606.ENSP00000347717	0	0	0	0	0.471	0	0	0.563	0.759
ACAT2	FDPS	9606.ENSP00000356015	9606.ENSP00000349078	0	0	0	0	0.530	0	0	0.651	0.829
ACAT2	HMGCS2	9606.ENSP00000356015	9606.ENSP00000358414	0.079	0	0	0	0.515	0.480	0.939	0.607	0.993
ACOT7	GAPDH	9606.ENSP00000367086	9606.ENSP00000380070	0	0	0	0	0.102	0.130	0	0.665	0.715
ACTL6A	YEATS4	9606.ENSP00000397552	9606.ENSP00000247843	0	0	0	0	0.198	0.688	0.900	0.801	0.994
ACTL6A	SRSF1	9606.ENSP00000397552	9606.ENSP00000258962	0	0	0	0	0.425	0.059	0	0.500	0.706
ACTL6A	H2AZ1	9606.ENSP00000397552	9606.ENSP00000296417	0	0	0	0	0.202	0.864	0	0.476	0.938
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0	0	0	0	0.383	0.918	0.900	0.989	0.999
ACTL6A	WDR5	9606.ENSP00000397552	9606.ENSP00000351446	0	0	0	0	0.123	0.117	0.720	0.166	0.795
ACTL6A	ANP32E	9606.ENSP00000397552	9606.ENSP00000463154	0	0	0	0	0.148	0.292	0.900	0.087	0.937
AGMAT	SMS	9606.ENSP00000364986	9606.ENSP00000385746	0.102	0	0	0	0.251	0	0.449	0.709	0.878
AIMP2	MARS2	9606.ENSP00000223029	9606.ENSP00000282276	0	0	0	0	0.081	0.137	0	0.882	0.898
AIMP2	MARS1	9606.ENSP00000223029	9606.ENSP00000262027	0	0	0	0	0.161	0.967	0.900	0.891	0.999
ALG3	ALG6	9606.ENSP00000380793	9606.ENSP00000263440	0	0	0	0	0.049	0.954	0.172	0.873	0.994
ANLN	TRIP13	9606.ENSP00000265748	9606.ENSP00000166345	0	0	0	0	0.514	0.292	0	0.327	0.748
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.541	0	0	0.459	0.741
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.433	0	0	0.505	0.707
