	queryItem	preferredName
1	PIP	PIP
2	HMGCS2	HMGCS2
3	NTN4	NTN4
4	FADS2	FADS2
5	MYBL2	MYBL2
6	C16orf89	C16orf89
7	RAI2	RAI2
8	CYP4B1	CYP4B1
9	MMP1	MMP1
10	PHYHD1	PHYHD1
11	UBE2C	UBE2C
12	IL20RA	IL20RA
13	SLC7A5	SLC7A5
14	CYBRD1	CYBRD1
15	PTGER3	PTGER3
16	CDC20	CDC20
17	PLAT	PLAT
18	FMOD	FMOD
19	TPX2	TPX2
20	TOP2A	TOP2A
21	BIRC5	BIRC5
22	FAM83D	FAM83D
23	ABLIM3	ABLIM3
24	MELK	MELK
25	ADRA2A	ADRA2A
26	AURKB	AURKB
27	BMP4	BMP4
28	INHBB	INHBB
29	BTG2	BTG2
30	HMGB3	HMGB3
31	CX3CR1	CX3CR1
32	FOXM1	FOXM1
33	CENPF	CENPF
34	E2F1	E2F1
35	KIFC1	KIFC1
36	KIF2C	KIF2C
37	ANLN	ANLN
38	MEX3A	MEX3A
39	CDCA5	CDCA5
40	CEP55	CEP55
41	STEAP2	STEAP2
42	CCNA2	CCNA2
43	CCNB2	CCNB2
44	AURKA	AURKA
45	COX7A1	COX7A1
46	MKI67	MKI67
47	UBE2T	UBE2T
48	CTF1	CTF1
49	SMOC2	SMOC2
50	TK1	TK1
51	NUF2	NUF2
52	KIF20A	KIF20A
53	KIF4A	KIF4A
54	NEK2	NEK2
55	PBK	PBK
56	CPE	CPE
57	RRM2	RRM2
58	FAM111B	FAM111B
59	PTTG1	PTTG1
60	RAMP3	RAMP3
61	CDCA8	CDCA8
62	CBX2	CBX2
63	NOSTRIN	NOSTRIN
64	IQGAP3	IQGAP3
65	CDK1	CDK1
66	CDT1	CDT1
67	PLK1	PLK1
68	RTN1	RTN1
69	DLGAP5	DLGAP5
70	TPPP3	TPPP3
71	PLAAT3	PLAAT3
72	KLRG2	KLRG2
73	BUB1	BUB1
74	ATAD2	ATAD2
75	CENPA	CENPA
76	TRIP13	TRIP13
77	EXO1	EXO1
78	HJURP	HJURP
79	CDC6	CDC6
80	ASF1B	ASF1B
81	LMNB1	LMNB1
82	SPAG5	SPAG5
83	CCNB1	CCNB1
84	CDC45	CDC45
85	KPNA2	KPNA2
86	TROAP	TROAP
87	PLCH1	PLCH1
88	EPHX2	EPHX2
89	SPATA18	SPATA18
90	NDC80	NDC80
91	ASPM	ASPM
92	DHCR7	DHCR7
93	NCAPG	NCAPG
94	IGFBP4	IGFBP4
95	TTK	TTK
96	ZWINT	ZWINT
97	LDHD	LDHD
98	PKMYT1	PKMYT1
99	CENPM	CENPM
100	RAMP2	RAMP2
101	DTL	DTL
102	CENPW	CENPW
103	PRR11	PRR11
104	CKS2	CKS2
105	CDKN3	CDKN3
106	BUB1B	BUB1B
107	MCM10	MCM10
108	STMN1	STMN1
109	CDCA7	CDCA7
110	GINS2	GINS2
111	KIF11	KIF11
112	SPTBN2	SPTBN2
113	CENPU	CENPU
114	SKA1	SKA1
115	GINS1	GINS1
116	JPT1	JPT1
117	TFRC	TFRC
118	RACGAP1	RACGAP1
119	MCM4	MCM4
120	KIF18B	KIF18B
121	VWA5A	VWA5A
122	ACADS	ACADS
123	SEPTIN3	SEPTIN3
124	MAD2L1	MAD2L1
125	MCM2	MCM2
126	SKA3	SKA3
127	GTSE1	GTSE1
128	IFITM2	IFITM2
129	SPC24	SPC24
130	CDCA3	CDCA3
131	CITED2	CITED2
132	NETO2	NETO2
133	RAD51AP1	RAD51AP1
134	TMEM97	TMEM97
135	ME3	ME3
136	RMI2	RMI2
137	KIF23	KIF23
138	UHRF1	UHRF1
139	ECT2	ECT2
140	HENMT1	HENMT1
141	CAB39L	CAB39L
142	PALM	PALM
143	NCAPH	NCAPH
144	SAPCD2	SAPCD2
145	PLCD3	PLCD3
146	APOBEC3B	APOBEC3B
147	PIMREG	PIMREG
148	CDC25B	CDC25B
149	RAD51	RAD51
150	HMGB2	HMGB2
151	SMC4	SMC4
152	HMMR	HMMR
153	HMGA1	HMGA1
154	TACC3	TACC3
155	GGH	GGH
156	ANG	ANG
157	TMSB15A	TMSB15A
158	PHLDA3	PHLDA3
159	EEF1AKMT4	EEF1AKMT4
160	EZH2	EZH2
161	RBPMS	RBPMS
162	KIF15	KIF15
163	KIF14	KIF14
164	STK26	STK26
165	CENPE	CENPE
166	ORC6	ORC6
167	DEPDC1	DEPDC1
168	LAMB2	LAMB2
169	ESPL1	ESPL1
170	CBX7	CBX7
171	CDCA2	CDCA2
172	TNS2	TNS2
173	FEN1	FEN1
174	E2F8	E2F8
175	SLC2A1	SLC2A1
176	FADS1	FADS1
177	ANP32E	ANP32E
178	CKAP2L	CKAP2L
179	CTSF	CTSF
180	ARHGAP11A	ARHGAP11A
181	SPC25	SPC25
182	FGF10	FGF10
183	ACOT7	ACOT7
184	RANBP3L	RANBP3L
185	SHCBP1	SHCBP1
186	DDO	DDO
187	CEP126	CEP126
188	ORC1	ORC1
189	SLC35F2	SLC35F2
190	KIF18A	KIF18A
191	APBB1	APBB1
192	CNIH2	CNIH2
193	CIRBP	CIRBP
194	PNPLA2	PNPLA2
195	DSCC1	DSCC1
196	ARRB1	ARRB1
197	CHEK1	CHEK1
198	CYB5D2	CYB5D2
199	PYROXD2	PYROXD2
200	CIP2A	CIP2A
201	HTATIP2	HTATIP2
202	CDC7	CDC7
203	PCNA	PCNA
204	CCNE1	CCNE1
205	CKAP2	CKAP2
206	ABRACL	ABRACL
207	DEPDC1B	DEPDC1B
208	CDC25A	CDC25A
209	H2AZ1	H2AZ1
210	DIRAS3	DIRAS3
211	VAMP2	VAMP2
212	TSC22D3	TSC22D3
213	TIMELESS	TIMELESS
214	STIL	STIL
215	E2F2	E2F2
216	MCM6	MCM6
217	TCF19	TCF19
218	NFE2L3	NFE2L3
219	SERP2	SERP2
220	ERCC6L	ERCC6L
221	FANCI	FANCI
222	CKS1B	CKS1B
223	VIPR1	VIPR1
224	PPIF	PPIF
225	PNP	PNP
226	STARD13	STARD13
227	CDC25C	CDC25C
228	ZNF367	ZNF367
229	MTARC2	2-Mar
230	PARP3	PARP3
231	PLK4	PLK4
232	GPRIN1	GPRIN1
233	GMNN	GMNN
234	SESN1	SESN1
235	HSPH1	HSPH1
236	TEAD4	TEAD4
237	PSRC1	PSRC1
238	SOX4	SOX4
239	ECE1	ECE1
240	MCM7	MCM7
241	HNMT	HNMT
242	TUBA1C	TUBA1C
243	SIAE	SIAE
244	GAPDH	GAPDH
245	TOM1L2	TOM1L2
246	CCNF	CCNF
247	KNSTRN	KNSTRN
248	NCAPG2	NCAPG2
249	MTFR2	MTFR2
250	POC1A	POC1A
251	DHTKD1	DHTKD1
252	AUNIP	AUNIP
253	PRDX1	PRDX1
254	FOXRED2	FOXRED2
255	TYMS	TYMS
256	TXN	TXN
257	HPRT1	HPRT1
258	KNL1	KNL1
259	LMNB2	LMNB2
260	SAP30	SAP30
261	RCC1	RCC1
262	NRM	NRM
263	CENPI	CENPI
264	PRDX4	PRDX4
265	WDR76	WDR76
266	NEIL3	NEIL3
267	HYOU1	HYOU1
268	SMS	SMS
269	CCT5	CCT5
270	TGIF2	TGIF2
271	PCLAF	PCLAF
272	TNFSF12	TNFSF12
273	ZBTB4	ZBTB4
274	CRY2	CRY2
275	SGO1	SGO1
276	MTHFD2	MTHFD2
