#node1	node2	label
ABCF1	MRPL19	1
ABCF1	LARP4B	1
ACADS	ACAT2	1
ACAT2	CRYL1	1
ACAT2	DHCR7	1
ACAT2	FDPS	1
ACAT2	HMGCS2	1
ACOT7	GAPDH	1
ACTL6A	YEATS4	1
ACTL6A	SRSF1	1
ACTL6A	H2AZ1	1
ACTL6A	RUVBL1	1
ACTL6A	WDR5	1
ACTL6A	ANP32E	1
AGMAT	SMS	1
AIMP2	MARS2	1
AIMP2	MARS1	1
ALG3	ALG6	1
ANLN	TRIP13	1
ANLN	AURKA	1
ANLN	NCAPH	1
ANLN	DLGAP5	1
ANLN	CCNB1	1
ANLN	KIF23	1
ANLN	KIF11	1
ANLN	MCM4	1
ANLN	DEPDC1B	1
ANLN	CENPE	1
ANLN	CDC20	1
ANLN	PLK1	1
ANLN	TTK	1
ANLN	KPNA2	1
ANLN	TYMS	1
ANLN	SHCBP1	1
ANLN	MKI67	1
ANLN	CCNA2	1
ANLN	EXO1	1
ANLN	UBE2C	1
ANLN	BIRC5	1
ANLN	KIF4A	1
ANLN	RRM2	1
ANLN	NEK2	1
ANLN	CDCA8	1
ANLN	IQGAP3	1
ANLN	BUB1B	1
ANLN	SMC4	1
ANLN	PBK	1
ANLN	CDK1	1
ANLN	KIF2C	1
ANLN	KIF14	1
ANLN	MELK	1
ANLN	CKAP2L	1
ANLN	CENPF	1
ANLN	AURKB	1
ANLN	DEPDC1	1
ANLN	TOP2A	1
ANLN	HMMR	1
ANLN	INCENP	1
ANLN	NUF2	1
ANLN	CIT	1
ANLN	ASPM	1
ANLN	BUB1	1
ANLN	TPX2	1
ANLN	CEP55	1
ANLN	KIF20A	1
ANLN	DIAPH3	1
ANLN	ECT2	1
ANLN	RACGAP1	1
ANP32B	XPO1	1
ANP32E	H2AZ1	1
ANP32E	ISCU	1
ANP32E	RUVBL1	1
ARHGAP11A	DLGAP5	1
ARHGAP11A	KIF11	1
ARHGAP11A	CENPE	1
ARHGAP11A	BUB1B	1
ARHGAP11A	BUB1	1
ARHGAP11A	CDCA8	1
ARHGAP11A	CCNA2	1
ARHGAP11A	CEP55	1
ARHGAP11A	CDK1	1
ARHGAP11A	KIF14	1
ARHGAP11A	TOP2A	1
ARHGAP11A	TTK	1
ARHGAP11A	ASPM	1
ARHGAP11A	CENPF	1
ARHGAP11A	MKI67	1
ARRB1	CX3CR1	1
ARRB1	TFRC	1
ARRB1	RAPGEF3	1
ASF1B	MCM5	1
ASF1B	AURKA	1
ASF1B	DLGAP5	1
ASF1B	NASP	1
ASF1B	SRSF1	1
ASF1B	MCM4	1
ASF1B	BUB1B	1
ASF1B	AURKB	1
ASF1B	NOP56	1
ASF1B	TOP2A	1
ASF1B	KIF2C	1
ASF1B	EXO1	1
ASF1B	PLK1	1
ASF1B	CENPF	1
ASF1B	UBE2C	1
ASF1B	PBK	1
ASF1B	PIF1	1
ASF1B	MCM10	1
ASF1B	H2AZ1	1
ASF1B	PCLAF	1
ASF1B	CCNA2	1
ASF1B	FOXM1	1
ASF1B	CDC20	1
ASF1B	BIRC5	1
ASF1B	CDCA3	1
ASF1B	RRM2	1
ASF1B	CDCA8	1
ASF1B	CENPA	1
ASF1B	MCM3	1
ASF1B	KIF20A	1
ASF1B	CDC45	1
ASF1B	MCM7	1
ASF1B	CHEK2	1
ASF1B	MCM6	1
ASF1B	CHAF1A	1
ASF1B	CHAF1B	1
ASF1B	MCM2	1
ASPM	TRIP13	1
ASPM	AURKA	1
ASPM	OIP5	1
ASPM	NCAPH	1
ASPM	DLGAP5	1
ASPM	NCAPG	1
ASPM	CCNB1	1
ASPM	TROAP	1
ASPM	ESPL1	1
ASPM	KIF23	1
ASPM	KIF11	1
ASPM	NDC80	1
ASPM	KIF18A	1
ASPM	SGO1	1
ASPM	CENPE	1
ASPM	PLK4	1
ASPM	NUF2	1
ASPM	CDCA5	1
ASPM	SPC25	1
ASPM	SMC2	1
ASPM	BUB1B	1
ASPM	CCNB2	1
ASPM	MAD2L1	1
ASPM	MELK	1
ASPM	PCLAF	1
ASPM	PLK1	1
ASPM	TPX2	1
ASPM	BIRC5	1
ASPM	BUB1	1
ASPM	CKAP2L	1
ASPM	AURKB	1
ASPM	TYMS	1
ASPM	E2F7	1
ASPM	SPAG5	1
ASPM	KIF15	1
ASPM	NCAPD2	1
ASPM	CDCA2	1
ASPM	KNTC1	1
ASPM	CDKN3	1
ASPM	KNL1	1
ASPM	CENPA	1
ASPM	SMC4	1
ASPM	FOXM1	1
ASPM	UBE2C	1
ASPM	RRM2	1
ASPM	EXO1	1
ASPM	CENPF	1
ASPM	DTL	1
ASPM	NEK2	1
ASPM	KIF14	1
ASPM	CDC45	1
ASPM	MCM10	1
ASPM	KIF18B	1
ASPM	CKS2	1
ASPM	TK1	1
ASPM	DIAPH3	1
ASPM	RACGAP1	1
ASPM	ZWINT	1
ASPM	KIF20B	1
ASPM	UBE2T	1
ASPM	KIFC1	1
ASPM	DEPDC1	1
ASPM	CDCA3	1
ASPM	PTTG1	1
ASPM	CKAP2	1
ASPM	CIT	1
ASPM	ECT2	1
ASPM	HMMR	1
ASPM	HJURP	1
ASPM	KIF2C	1
ASPM	CENPJ	1
ASPM	CDK1	1
ASPM	CCNA2	1
ASPM	CEP55	1
ASPM	CDCA8	1
ASPM	PBK	1
ASPM	KIF4A	1
ASPM	TTK	1
ASPM	MKI67	1
ASPM	WDR62	1
ASPM	CDC20	1
ASPM	STIL	1
ASPM	KIF20A	1
ASPM	TOP2A	1
ATAD2	CDC6	1
ATAD2	MCM4	1
ATAD2	WDR76	1
ATAD2	CENPE	1
ATAD2	CEP55	1
ATAD2	E2F1	1
ATAD2	TPX2	1
ATAD2	SMC4	1
ATAD2	HELLS	1
ATAD2	TOP2A	1
ATAD5	RFC2	1
ATAD5	CDC6	1
ATAD5	TIPIN	1
ATAD5	MCM4	1
ATAD5	RAD18	1
ATAD5	MCM2	1
ATAD5	SMC2	1
ATAD5	FANCD2	1
ATAD5	CDT1	1
ATAD5	FEN1	1
ATAD5	ESCO2	1
ATAD5	CLSPN	1
ATAD5	PIF1	1
ATAD5	TIMELESS	1
ATAD5	MCM10	1
ATAD5	DSCC1	1
ATAD5	DNA2	1
ATAD5	BLM	1
ATAD5	CDC45	1
ATAD5	ORC1	1
ATAD5	EXO1	1
ATAD5	USP1	1
ATAD5	RAD51	1
ATAD5	PCNA	1
ATAD5	WDHD1	1
ATAD5	RFC3	1
ATAD5	RFC5	1
ATAD5	RFC4	1
ATP5F1C	TPI1	1
ATP5F1C	SEC61A1	1
ATP5F1C	MRPL3	1
ATP5F1C	SEC61A2	1
ATP5F1C	HPRT1	1
ATP5F1C	CHCHD3	1
ATP5F1C	CDCA8	1
AUNIP	AURKA	1
AUNIP	DTL	1
AURKA	TRIP13	1
AURKA	CDC6	1
AURKA	CDC45	1
AURKA	SMC2	1
AURKA	CDK4	1
AURKA	KIFC1	1
AURKA	KIF15	1
AURKA	CDC25A	1
AURKA	TYMS	1
AURKA	PCLAF	1
AURKA	MCM6	1
AURKA	HNRNPD	1
AURKA	FEN1	1
AURKA	SGO1	1
AURKA	CHEK1	1
AURKA	EZH2	1
AURKA	ESPL1	1
AURKA	MAPRE1	1
AURKA	TTK	1
AURKA	DEPDC1	1
AURKA	ZWINT	1
AURKA	CCNF	1
AURKA	PBK	1
AURKA	FOXM1	1
AURKA	SPAG5	1
AURKA	CKS2	1
AURKA	CCNE2	1
AURKA	NCAPH	1
AURKA	CDCA3	1
AURKA	FAM83D	1
AURKA	NEK2	1
AURKA	ECT2	1
AURKA	CDC25C	1
AURKA	MYBL2	1
AURKA	MKI67	1
AURKA	HJURP	1
AURKA	CDCA5	1
AURKA	CENPE	1
AURKA	CDKN3	1
AURKA	RACGAP1	1
AURKA	KIF4A	1
AURKA	CDK2	1
AURKA	RRM2	1
AURKA	NUF2	1
AURKA	CENPF	1
AURKA	MELK	1
AURKA	AURKB	1
AURKA	KIF23	1
AURKA	BUB1B	1
AURKA	MAD2L1	1
AURKA	NDC80	1
AURKA	KIF20A	1
AURKA	CEP55	1
AURKA	BRCA1	1
AURKA	CCNA2	1
AURKA	CDK1	1
AURKA	CDCA8	1
AURKA	NCAPG	1
AURKA	CENPA	1
AURKA	TOP2A	1
AURKA	DLGAP5	1
AURKA	PTTG1	1
AURKA	HMMR	1
AURKA	BUB1	1
AURKA	KIF11	1
AURKA	CKAP5	1
AURKA	KIF2C	1
AURKA	BORA	1
AURKA	CCNB1	1
AURKA	UBE2C	1
AURKA	CCNB2	1
AURKA	BIRC5	1
AURKA	INCENP	1
AURKA	CDC20	1
AURKA	PLK1	1
AURKA	TACC3	1
AURKA	TPX2	1
AURKB	TRIP13	1
AURKB	CDC6	1
AURKB	CENPM	1
AURKB	MCM5	1
AURKB	MYBL2	1
AURKB	NCAPH	1
AURKB	DLGAP5	1
AURKB	PIMREG	1
AURKB	NCAPG	1
AURKB	CCNB1	1
AURKB	TROAP	1
AURKB	ESPL1	1
AURKB	KIF23	1
AURKB	KIF11	1
AURKB	BARD1	1
AURKB	NDC80	1
AURKB	MCM4	1
AURKB	KIF18A	1
AURKB	SGO1	1
AURKB	NSUN2	1
AURKB	MCM2	1
AURKB	CENPE	1
AURKB	PLK4	1
AURKB	NUF2	1
AURKB	CDCA5	1
AURKB	CENPU	1
AURKB	SKA1	1
AURKB	BUB1B	1
AURKB	CCNB2	1
AURKB	MAD2L1	1
AURKB	MELK	1
AURKB	PCLAF	1
AURKB	PLK1	1
AURKB	TPX2	1
AURKB	CDT1	1
AURKB	BIRC5	1
AURKB	BUB1	1
AURKB	CDC25A	1
AURKB	CKAP2L	1
AURKB	MCM7	1
AURKB	RFC4	1
AURKB	CDKN3	1
AURKB	SPC24	1
AURKB	MCM10	1
AURKB	CKS2	1
AURKB	TYMS	1
AURKB	TACC3	1
AURKB	CBX3	1
AURKB	KIF18B	1
AURKB	CHEK1	1
AURKB	CDCA2	1
AURKB	HMMR	1
AURKB	TK1	1
AURKB	NEK2	1
AURKB	TTK	1
AURKB	SKA3	1
AURKB	RAD51	1
AURKB	CCNF	1
AURKB	BRCA2	1
AURKB	PBK	1
AURKB	NCAPD2	1
AURKB	VCP	1
AURKB	EXO1	1
AURKB	CENPI	1
AURKB	DSN1	1
AURKB	KIF14	1
AURKB	SGO2	1
AURKB	RRM2	1
AURKB	GTSE1	1
AURKB	CDC25C	1
AURKB	KIF15	1
AURKB	CEP55	1
AURKB	MKI67	1
AURKB	SMC4	1
AURKB	ECT2	1
AURKB	SPAG5	1
AURKB	HSP90AA1	1
AURKB	HSP90AB1	1
AURKB	FOXM1	1
AURKB	KIFC1	1
AURKB	KNL1	1
AURKB	MAPRE1	1
AURKB	CENPF	1
AURKB	CDC45	1
AURKB	HJURP	1
AURKB	ZWINT	1
AURKB	CDCA3	1
AURKB	KIF4A	1
AURKB	PTTG1	1
AURKB	UBE2C	1
AURKB	HASPIN	1
AURKB	RACGAP1	1
AURKB	TOP2A	1
AURKB	RCC2	1
AURKB	KIF20A	1
AURKB	CCNA2	1
AURKB	KIF2C	1
AURKB	CDK1	1
AURKB	CENPA	1
AURKB	CDC20	1
AURKB	INCENP	1
AURKB	CDCA8	1
BAK1	PPIF	1
BAK1	CYCS	1
BAK1	SLC25A5	1
BARD1	CBX7	1
BARD1	MSH2	1
BARD1	MSH6	1
BARD1	BRIP1	1
BARD1	TOPBP1	1
BARD1	GEN1	1
BARD1	CDC20	1
BARD1	RAD54L	1
BARD1	EME1	1
BARD1	BLM	1
BARD1	CBX3	1
BARD1	CSTF2	1
BARD1	CDK2	1
BARD1	DNA2	1
BARD1	FANCD2	1
BARD1	POLE	1
BARD1	CCNA2	1
BARD1	BUB1B	1
BARD1	EXO1	1
BARD1	XRCC2	1
BARD1	CHEK1	1
BARD1	CBX2	1
BARD1	UBE2C	1
BARD1	CHEK2	1
BARD1	MDC1	1
BARD1	RAD51	1
BARD1	BRCA2	1
BARD1	BRCA1	1
BEND3	ERCC6L	1
BIRC5	TRIP13	1
BIRC5	CDC6	1
BIRC5	CENPM	1
BIRC5	MYBL2	1
BIRC5	OIP5	1
BIRC5	RAD51AP1	1
BIRC5	NCAPH	1
BIRC5	DLGAP5	1
BIRC5	NCAPG	1
BIRC5	CCNB1	1
BIRC5	CDK4	1
BIRC5	TROAP	1
BIRC5	ESPL1	1
BIRC5	KIF23	1
BIRC5	KIF11	1
BIRC5	NDC80	1
BIRC5	SGO1	1
BIRC5	NEIL3	1
BIRC5	DEPDC1B	1
BIRC5	CENPE	1
BIRC5	CDK2	1
BIRC5	NUF2	1
BIRC5	CDCA5	1
BIRC5	SPC25	1
BIRC5	SKA1	1
BIRC5	BUB1B	1
BIRC5	CCNB2	1
BIRC5	MAD2L1	1
BIRC5	MELK	1
BIRC5	PCLAF	1
BIRC5	PLK1	1
BIRC5	TPX2	1
BIRC5	CDT1	1
BIRC5	UHRF1	1
BIRC5	UBE2T	1
BIRC5	CKAP2	1
BIRC5	RFC4	1
BIRC5	CENPI	1
BIRC5	TACC3	1
BIRC5	SMC4	1
BIRC5	KIF14	1
BIRC5	CENPW	1
BIRC5	CKS2	1
BIRC5	KIFC1	1
BIRC5	ECT2	1
BIRC5	CDC25C	1
BIRC5	CHEK1	1
BIRC5	KPNA2	1
BIRC5	CENPN	1
BIRC5	KIF18B	1
