#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCE1	EIF2S1	9606.ENSP00000296577	9606.ENSP00000256383	0	0	0	0	0.641	0.815	0	0.690	0.977
ABCE1	DDX18	9606.ENSP00000296577	9606.ENSP00000263239	0	0	0	0	0.640	0.308	0	0.091	0.754
ABCE1	EPRS1	9606.ENSP00000296577	9606.ENSP00000355890	0	0	0	0	0.765	0	0	0.146	0.791
ABCE1	GTPBP4	9606.ENSP00000296577	9606.ENSP00000354040	0	0	0	0	0.718	0.091	0	0.280	0.799
ABCE1	EIF2S2	9606.ENSP00000296577	9606.ENSP00000364119	0	0	0	0	0.386	0.800	0	0.650	0.953
ABCE1	RNASEL	9606.ENSP00000296577	9606.ENSP00000356530	0	0	0	0	0.096	0.300	0.900	0.918	0.994
ACADVL	ECHDC2	9606.ENSP00000438689	9606.ENSP00000360577	0.046	0	0	0	0.394	0.091	0.185	0.510	0.752
ACAT2	SQLE	9606.ENSP00000356015	9606.ENSP00000265896	0.041	0	0	0	0.486	0	0	0.620	0.797
ACAT2	DLAT	9606.ENSP00000356015	9606.ENSP00000280346	0.057	0	0	0	0.148	0	0.900	0.276	0.934
ACAT2	HMGCS1	9606.ENSP00000356015	9606.ENSP00000322706	0.079	0	0	0	0.830	0.480	0.939	0.793	0.998
ACAT2	DHCR7	9606.ENSP00000356015	9606.ENSP00000347717	0	0	0	0	0.471	0	0	0.563	0.759
ACAT2	FDPS	9606.ENSP00000356015	9606.ENSP00000349078	0	0	0	0	0.530	0	0	0.651	0.829
ACTL6A	SMARCC1	9606.ENSP00000397552	9606.ENSP00000254480	0	0	0	0	0.075	0.901	0.900	0.996	0.999
ACTL6A	SRSF1	9606.ENSP00000397552	9606.ENSP00000258962	0	0	0	0	0.425	0.059	0	0.500	0.706
ACTL6A	H2AZ1	9606.ENSP00000397552	9606.ENSP00000296417	0	0	0	0	0.202	0.864	0	0.476	0.938
ACTL6A	H2AZ2	9606.ENSP00000397552	9606.ENSP00000308405	0	0	0	0	0.169	0.410	0	0.527	0.748
ACTL6A	SMARCA4	9606.ENSP00000397552	9606.ENSP00000343896	0	0	0	0	0.066	0.995	0.900	0.995	0.999
ACTL6A	TRRAP	9606.ENSP00000397552	9606.ENSP00000352925	0	0	0	0	0.045	0.964	0.900	0.974	0.999
ACTL6A	UCHL5	9606.ENSP00000397552	9606.ENSP00000356421	0	0	0	0	0.124	0.474	0.900	0.097	0.952
ACTL6A	MRGBP	9606.ENSP00000397552	9606.ENSP00000359518	0	0	0	0	0.055	0.812	0.800	0.632	0.985
ACTL6A	HDAC2	9606.ENSP00000397552	9606.ENSP00000430432	0	0	0	0	0.196	0.174	0	0.603	0.714
ACTL6A	MYC	9606.ENSP00000397552	9606.ENSP00000478887	0	0	0	0	0.072	0.783	0	0.504	0.891
ACTR3B	ARPC5L	9606.ENSP00000256001	9606.ENSP00000345361	0	0	0	0	0.119	0.920	0	0.731	0.979
ADD1	TPI1	9606.ENSP00000264758	9606.ENSP00000229270	0.095	0	0	0	0.135	0	0.585	0.301	0.743
ADD1	ENOPH1	9606.ENSP00000264758	9606.ENSP00000273920	0.111	0	0	0	0.068	0	0.585	0.281	0.719
AGTR1	ARRB1	9606.ENSP00000398832	9606.ENSP00000409581	0	0	0	0	0	0.544	0.500	0.790	0.948
AHCTF1	NUP107	9606.ENSP00000355465	9606.ENSP00000229179	0	0	0	0	0.095	0.988	0.500	0.989	0.999
AHCTF1	NUP155	9606.ENSP00000355465	9606.ENSP00000231498	0	0	0	0	0.107	0.894	0.500	0.760	0.987
AHCTF1	NUP205	9606.ENSP00000355465	9606.ENSP00000285968	0	0	0	0	0.197	0.884	0.500	0.680	0.983
AHCTF1	PLK1	9606.ENSP00000355465	9606.ENSP00000300093	0	0	0	0	0.054	0	0.800	0.195	0.834
AHCTF1	NUP43	9606.ENSP00000355465	9606.ENSP00000342262	0	0	0	0	0.097	0.940	0.500	0.952	0.998
AHCTF1	CDC20	9606.ENSP00000355465	9606.ENSP00000361540	0	0	0	0	0.055	0	0.800	0.148	0.825
AHCTF1	NDC1	9606.ENSP00000355465	9606.ENSP00000360483	0	0	0	0	0.085	0.800	0.500	0.476	0.945
AHCTF1	NUP88	9606.ENSP00000355465	9606.ENSP00000458954	0	0	0	0	0.126	0.867	0	0.603	0.949
AHCTF1	NUP153	9606.ENSP00000355465	9606.ENSP00000444029	0	0	0	0	0.272	0	0	0.970	0.977
AHCTF1	SEH1L	9606.ENSP00000355465	9606.ENSP00000382779	0	0	0	0	0.114	0.930	0.500	0.943	0.998
AHCTF1	NUP37	9606.ENSP00000355465	9606.ENSP00000448054	0	0	0	0	0.076	0.948	0.500	0.977	0.999
ALDH4A1	EPRS1	9606.ENSP00000364490	9606.ENSP00000355890	0.095	0	0	0	0.067	0	0.800	0.316	0.869
ALDH4A1	GCLM	9606.ENSP00000364490	9606.ENSP00000359258	0	0	0	0	0.087	0.045	0.820	0.135	0.846
ALDH4A1	GATM	9606.ENSP00000364490	9606.ENSP00000379895	0	0	0	0	0.093	0.053	0.811	0.298	0.871
ANAPC13	CBX7	9606.ENSP00000421842	9606.ENSP00000216133	0	0	0	0	0	0	0.720	0	0.720
ANAPC13	FBXO5	9606.ENSP00000421842	9606.ENSP00000229758	0	0	0	0	0	0.955	0	0.400	0.971
ANAPC13	CCNB1	9606.ENSP00000421842	9606.ENSP00000256442	0	0	0	0	0	0	0.900	0.181	0.914
ANAPC13	UBE2S	9606.ENSP00000421842	9606.ENSP00000264552	0	0	0	0	0.042	0.819	0.900	0.304	0.986
ANAPC13	BUB1B	9606.ENSP00000421842	9606.ENSP00000287598	0	0	0	0	0	0.818	0.720	0.269	0.959
ANAPC13	CCNB2	9606.ENSP00000421842	9606.ENSP00000288207	0	0	0	0	0	0	0.900	0	0.900
ANAPC13	MAD2L1	9606.ENSP00000421842	9606.ENSP00000296509	0	0	0	0	0.049	0.800	0.650	0.108	0.932
ANAPC13	UBE2C	9606.ENSP00000421842	9606.ENSP00000348838	0	0	0	0	0	0.819	0.900	0.387	0.987
ANAPC13	NEK2	9606.ENSP00000421842	9606.ENSP00000355966	0	0	0	0	0	0.800	0	0.190	0.831
ANAPC13	CDC20	9606.ENSP00000421842	9606.ENSP00000361540	0	0	0	0	0	0.954	0.800	0.670	0.996
ANAPC13	PTTG1	9606.ENSP00000421842	9606.ENSP00000377536	0	0	0	0	0	0	0.650	0.398	0.780
ANAPC13	RAD51	9606.ENSP00000421842	9606.ENSP00000493712	0	0	0	0	0	0	0.720	0	0.720
ANAPC13	UBC	9606.ENSP00000421842	9606.ENSP00000441543	0	0	0	0	0.051	0.800	0	0.055	0.804
ANAPC13	CCNA2	9606.ENSP00000421842	9606.ENSP00000481380	0	0	0	0	0	0.800	0	0.176	0.828
ANOS1	CHD7	9606.ENSP00000262648	9606.ENSP00000392028	0	0	0	0	0	0	0	0.835	0.835
APOBEC3B	COX5A	9606.ENSP00000327459	9606.ENSP00000317780	0	0	0	0	0.487	0.486	0.261	0.185	0.820
APOBEC3B	ELOC	9606.ENSP00000327459	9606.ENSP00000478121	0	0	0	0	0.060	0	0.650	0.164	0.701
ARRB1	MAPK1	9606.ENSP00000409581	9606.ENSP00000215832	0	0	0	0	0.066	0.292	0.900	0.856	0.989
ARRB1	PPP2R5A	9606.ENSP00000409581	9606.ENSP00000261461	0	0	0	0	0.049	0	0.800	0.067	0.807
ARRB1	PDE4A	9606.ENSP00000409581	9606.ENSP00000370078	0	0	0	0	0.048	0.095	0	0.949	0.952
ARRB1	TFRC	9606.ENSP00000409581	9606.ENSP00000376197	0	0	0	0	0.076	0	0.500	0.581	0.789
ASAH1	GALC	9606.ENSP00000371152	9606.ENSP00000261304	0	0	0	0	0.072	0	0.900	0.835	0.983
ASAH1	SMPD1	9606.ENSP00000371152	9606.ENSP00000340409	0	0	0	0	0.073	0.087	0.650	0.909	0.969
ASNS	EIF2S1	9606.ENSP00000377845	9606.ENSP00000256383	0	0	0	0	0.058	0	0.500	0.710	0.851
ASNS	NARS1	9606.ENSP00000377845	9606.ENSP00000256854	0	0.002	0	0	0.268	0.087	0.183	0.909	0.943
ASNS	SLC7A5	9606.ENSP00000377845	9606.ENSP00000261622	0	0	0	0	0.254	0	0	0.805	0.848
ASNS	IARS1	9606.ENSP00000377845	9606.ENSP00000364794	0	0	0	0	0.343	0.625	0	0.271	0.804
ASNS	MTHFD2	9606.ENSP00000377845	9606.ENSP00000377617	0	0	0	0	0.300	0	0	0.612	0.717
ASPM	TRIP13	9606.ENSP00000356379	9606.ENSP00000166345	0	0	0	0	0.553	0	0	0.418	0.729
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.705	0.314	0	0.685	0.930
ASPM	OIP5	9606.ENSP00000356379	9606.ENSP00000220514	0	0	0	0	0.644	0	0	0.327	0.750
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.667	0.099	0	0.579	0.862
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.838	0	0	0.714	0.952
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.648	0	0	0.358	0.764
ASPM	ESPL1	9606.ENSP00000356379	9606.ENSP00000257934	0	0	0	0	0.759	0.087	0	0.401	0.857
ASPM	KIF23	9606.ENSP00000356379	9606.ENSP00000260363	0	0	0	0	0.967	0.300	0	0.500	0.987
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.962	0.079	0	0.714	0.989
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0.170	0.969
ASPM	KIF18A	9606.ENSP00000356379	9606.ENSP00000263181	0	0	0	0	0.791	0.061	0	0.367	0.865
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.954	0.078	0	0.589	0.981
